No,Constituency,Name,State,Party
1,Andaman and Nicobar Islands,BISHNU PADA RAY,Andaman and Nicobar Islands,Bharatiya Janata Party
2,Araku (ST),GUMMA THANUJA RANI,Andhra Pradesh,YSR Congress Party
3,Srikakulam,KINJARAPU RAMMOHAN NAIDU,Andhra Pradesh,Telugu Desam Party
4,Vizianagaram,APPALANAIDU KALISETTI,Andhra Pradesh,Telugu Desam Party
5,Visakhapatnam,SRIBHARAT MATHUKUMILI,Andhra Pradesh,Telugu Desam Party
6,Anakapalli,C.M.RAMESH,Andhra Pradesh,Bharatiya Janata Party
7,Kakinada,TANGELLA UDAY SRINIVAS,Andhra Pradesh,Jana Sena Party
8,Amalapuram (SC),G M HARISH (BALAYOGI),Andhra Pradesh,Telugu Desam Party
9,Rajahmundry,DAGGUBATI PURANDHESHWARI,Andhra Pradesh,Bharatiya Janata Party
10,Narasapuram,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Andhra Pradesh,Bharatiya Janata Party
11,Eluru,PUTTA MAHESH KUMAR,Andhra Pradesh,Telugu Desam Party
12,Machilipatnam,BALASHOWRY VALLABHANENI,Andhra Pradesh,Jana Sena Party
13,Vijayawada,KESINENI SIVANATH (CHINNI),Andhra Pradesh,Telugu Desam Party
14,Guntur,DR CHANDRA SEKHAR PEMMASANI,Andhra Pradesh,Telugu Desam Party
15,Narasaraopet,LAVU SRIKRISHNA DEVARAYALU,Andhra Pradesh,Telugu Desam Party
16,Bapatla (SC),KRISHNA PRASAD TENNETI,Andhra Pradesh,Telugu Desam Party
17,Ongole,MAGUNTA SREENIVASULU REDDY,Andhra Pradesh,Telugu Desam Party
18,Nandyal,DR BYREDDY SHABARI,Andhra Pradesh,Telugu Desam Party
19,Kurnool,BASTIPATI NAGARAJU PANCHALINGALA,Andhra Pradesh,Telugu Desam Party
20,Anantapur,AMBICA G LAKSHMINARAYANA VALMIKI,Andhra Pradesh,Telugu Desam Party
21,Hindupur,B K PARTHASARATHI,Andhra Pradesh,Telugu Desam Party
22,Kadapa,Y. S. AVINASH REDDY,Andhra Pradesh,YSR Congress Party
23,Nellore,PRABHAKAR REDDY VEMIREDDY,Andhra Pradesh,Telugu Desam Party
24,Tirupati (SC),GURUMOORTHY MADDILA,Andhra Pradesh,YSR Congress Party
25,Rajampet,P V MIDHUN REDDY,Andhra Pradesh,YSR Congress Party
26,Chittoor (SC),DAGGUMALLA PRASADA RAO,Andhra Pradesh,Telugu Desam Party
27,Arunachal West,KIREN RIJIJU,Arunachal Pradesh,Bharatiya Janata Party
28,Arunachal East,TAPIR GAO,Arunachal Pradesh,Bharatiya Janata Party
29,Kokrajhar (ST),JOYANTA BASUMATARY,Assam,United People's Party Liberal
30,Dhubri,RAKIBUL HUSSAIN,Assam,Indian National Congress
31,Barpeta,PHANI BHUSAN CHOUDHURY,Assam,Asom Gana Parishad
32,Darrang–Udalguri,DILIP SAIKIA,Assam,Bharatiya Janata Party
33,Guwahati,BIJULI KALITA MEDHI,Assam,Bharatiya Janata Party
34,Diphu (ST),AMARSING TISSO,Assam,Bharatiya Janata Party
35,Karimganj,KRIPANATH MALLAH,Assam,Bharatiya Janata Party
36,Silchar (SC),PARIMAL SUKLABAIDYA,Assam,Bharatiya Janata Party
37,Nagaon,PRADYUT BORDOLOI,Assam,Indian National Congress
38,Kaziranga,KAMAKHYA PRASAD TASA,Assam,Bharatiya Janata Party
39,Sonitpur,RANJIT DUTTA,Assam,Bharatiya Janata Party
40,Lakhimpur,PRADAN BARUAH,Assam,Bharatiya Janata Party
41,Dibrugarh,SARBANANDA SONOWAL,Assam,Bharatiya Janata Party
42,Jorhat,GAURAV GOGOI,Assam,Indian National Congress
43,Valmiki Nagar,SUNIL KUMAR,Bihar,Janata Dal (United)
44,Paschim Champaran,DR.SANJAY JAISWAL,Bihar,Bharatiya Janata Party
45,Purvi Champaran,RADHA MOHAN SINGH,Bihar,Bharatiya Janata Party
46,Sheohar,LOVELY ANAND,Bihar,Janata Dal (United)
47,Sitamarhi,DEVESH CHANDRA THAKUR,Bihar,Janata Dal (United)
48,Madhubani,ASHOK KUMAR YADAV,Bihar,Bharatiya Janata Party
49,Jhanjharpur,RAMPRIT MANDAL,Bihar,Janata Dal (United)
50,Supaul,DILESHWAR KAMAIT,Bihar,Janata Dal (United)
51,Araria,PRADEEP KUMAR SINGH,Bihar,Bharatiya Janata Party
52,Kishanganj,MOHAMMAD JAWED,Bihar,Indian National Congress
53,Katihar,TARIQ ANWAR,Bihar,Indian National Congress
54,Purnia,RAJESH RANJAN ALIAS PAPPU YADAV,Bihar,Indian National Congress
55,Madhepura,DINESH CHANDRA YADAV,Bihar,Janata Dal (United)
56,Darbhanga,GOPAL JEE THAKUR,Bihar,Bharatiya Janata Party
57,Muzaffarpur,RAJ BHUSHAN CHOUDHARY,Bihar,Bharatiya Janata Party
58,Vaishali,VEENA DEVI,Bihar,Lok Janshakti Party
59,Gopalganj (SC),DR. ALOK KUMAR SUMAN,Bihar,Janata Dal (United)
60,Siwan,VIJAYLAKSHMI DEVI,Bihar,Janata Dal (United)
61,Maharajganj,JANARDAN SINGH SIGRIWAL,Bihar,Bharatiya Janata Party
62,Saran,RAJIV PRATAP RUDY,Bihar,Bharatiya Janata Party
63,Hajipur (SC),CHIRAG PASWAN,Bihar,Lok Janshakti Party
64,Ujiarpur,NITYANAND RAI,Bihar,Bharatiya Janata Party
65,Samastipur (SC),SHAMBHAVI,Bihar,Lok Janshakti Party
66,Begusarai,GIRIRAJ SINGH,Bihar,Bharatiya Janata Party
67,Khagaria,RAJESH VERMA,Bihar,Lok Janshakti Party
68,Bhagalpur,AJAY KUMAR MANDAL,Bihar,Janata Dal (United)
69,Banka,GIRIDHARI YADAV,Bihar,Janata Dal (United)
70,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Bihar,Janata Dal (United)
71,Nalanda,KAUSHALENDRA KUMAR,Bihar,Janata Dal (United)
72,Patna Sahib,RAVI SHANKAR PRASAD,Bihar,Bharatiya Janata Party
73,Pataliputra,MISHA BHARTI,Bihar,Rashtriya Janata Dal
74,Arrah,SUDAMA PRASAD,Bihar,Communist Party of India (Marxist-Leninist) Liberation
75,Buxar,SUDHAKAR SINGH,Bihar,Rashtriya Janata Dal
76,Sasaram (SC),MANOJ KUMAR,Bihar,Indian National Congress
77,Karakat,RAJA RAM SINGH Kushwaha,Bihar,Communist Party of India (Marxist-Leninist) Liberation
78,Jahanabad,SURENDRA PRASAD YADAV,Bihar,Rashtriya Janata Dal
79,Aurangabad,ABHAY KUMAR SINHA,Bihar,Rashtriya Janata Dal
80,Gaya (SC),JITAN RAM MANJHI,Bihar,Hindustani Awam Morcha
81,Nawada,VIVEK THAKUR,Bihar,Bharatiya Janata Party
82,Jamui (SC),ARUN BHARTI,Bihar,Lok Janshakti Party
83,Chandigarh,MANISH TEWARI,Chandigarh,Indian National Congress
84,Surguja (ST),CHINTAMANI MAHARAJ,Chhattisgarh,Bharatiya Janata Party
85,Raigarh (ST),RADHESHYAM RATHIYA,Chhattisgarh,Bharatiya Janata Party
86,Janjgir (SC),KAMLESH JANGDE,Chhattisgarh,Bharatiya Janata Party
87,Korba,JYOTSNA CHARANDAS MAHANT,Chhattisgarh,Indian National Congress
88,Bilaspur,TOKHAN SAHU,Chhattisgarh,Bharatiya Janata Party
89,Rajnandgaon,SANTOSH PANDEY,Chhattisgarh,Bharatiya Janata Party
90,Durg,VIJAY BAGHEL,Chhattisgarh,Bharatiya Janata Party
91,Raipur,BRIJMOHAN AGRAWAL,Chhattisgarh,Bharatiya Janata Party
92,Mahasamund,ROOP KUMARI CHOUDHARY,Chhattisgarh,Bharatiya Janata Party
93,Bastar (ST),MAHESH KASHYAP,Chhattisgarh,Bharatiya Janata Party
94,Kanker (ST),BHOJRAJ NAG,Chhattisgarh,Bharatiya Janata Party
95,Dadra and Nagar Haveli (ST),DELKAR KALABEN MOHANBHAI,Dadra and Nagar Haveli and Daman and Diu,Bharatiya Janata Party
96,Daman and Diu,PATEL UMESHBHAI BABUBHAI,Dadra and Nagar Haveli and Daman and Diu,Independent
97,Chandni Chowk,PRAVEEN KHANDELWAL,Delhi,Bhartiya Janata Party
98,North East Delhi,MANOJ TIWARI,Delhi,Bhartiya Janata Party
99,East Delhi,HARSH MALHOTRA,Delhi,Bhartiya Janata Party
100,New Delhi,BANSURI SWARAJ,Delhi,Bhartiya Janata Party
101,North West Delhi (SC),YOGENDER CHANDOLIYA,Delhi,Bhartiya Janata Party
102,West Delhi,KAMALJEET SEHRAWAT,Delhi,Bhartiya Janata Party
103,South Delhi,RAMVIR SINGH BIDHURI,Delhi,Bhartiya Janata Party
104,North Goa,SHRIPAD YESSO NAIK,Goa,Bharatiya Janata Party
105,South Goa,CAPTAIN  VIRIATO FERNANDES,Goa,Indian National Congress
106,Kachchh (SC),CHAVDA VINOD LAKHAMSHI,Gujarat,Bharatiya Janata Party
107,Banaskantha,GENIBEN NAGAJI THAKOR,Gujarat,Indian National Congress
108,Patan,DABHI  BHARATSINHJI  SHANKARJI,Gujarat,Bharatiya Janata Party
109,Mahesana,Haribhai Patel,Gujarat,Bharatiya Janata Party
110,Sabarkantha,SHOBHANABEN MAHENDRASINH BARAIYA,Gujarat,Bharatiya Janata Party
111,Gandhinagar,Amit Shah,Gujarat,Bharatiya Janata Party
112,Ahmedabad East,HASMUKHBHAI PATEL (H.S.PATEL),Gujarat,Bharatiya Janata Party
113,Ahmedabad West (SC),DINESHBHAI MAKWANA (ADVOCATE),Gujarat,Bharatiya Janata Party
114,Surendranagar,CHANDUBHAI CHHAGANBHAI SHIHORA,Gujarat,Bharatiya Janata Party
115,Rajkot,PARSHOTTAMBHAI RUPALA,Gujarat,Bharatiya Janata Party
116,Porbandar,DR. MANSUKH MANDAVIYA,Gujarat,Bharatiya Janata Party
117,Jamnagar,POONAMBEN HEMATBHAI MAADAM,Gujarat,Bharatiya Janata Party
118,Junagadh,CHUDASAMA RAJESHBHAI NARANBHAI,Gujarat,Bharatiya Janata Party
119,Amreli,Bharatbhai Manubhai Sutariya,Gujarat,Bharatiya Janata Party
120,Bhavnagar,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Gujarat,Bharatiya Janata Party
121,Anand,MITESH PATEL (BAKABHAI),Gujarat,Bharatiya Janata Party
122,Kheda,DEVUSINH CHAUHAN,Gujarat,Bharatiya Janata Party
123,Panchmahal,Rajpalsinh Mahendrasinh Jadav,Gujarat,Bharatiya Janata Party
124,Dahod (ST),JASWANTSINH SUMANBHAI BHABHOR,Gujarat,Bharatiya Janata Party
125,Vadodara,DR. HEMANG JOSHI,Gujarat,Bharatiya Janata Party
126,Chhota Udaipur (ST),Jashubhai Bhilubhai Rathva,Gujarat,Bharatiya Janata Party
127,Bharuch,MANSUKHBHAI DHANJIBHAI VASAVA,Gujarat,Bharatiya Janata Party
128,Bardoli (ST),PARBHUBHAI NAGARBHAI VASAVA,Gujarat,Bharatiya Janata Party
129,Surat,MUKESHKUMAR CHANDRAKAANT DALAL,Gujarat,Bharatiya Janata Party
130,Navsari,C R PATIL,Gujarat,Bharatiya Janata Party
131,Valsad (ST),DHAVAL LAXMANBHAI  PATEL,Gujarat,Bharatiya Janata Party
132,Ambala (SC),VARUN CHAUDHRY,Haryana,Indian National Congress
133,Kurukshetra,Naveen Jindal,Haryana,Bharatiya Janata Party
134,Sirsa (SC),SELJA,Haryana,Indian National Congress
135,Hisar,JAI PARKASH (J P) S/O HARIKESH,Haryana,Indian National Congress
136,Karnal,MANOHAR LAL,Haryana,Bharatiya Janata Party
137,Sonipat,Satpal Brahamchari,Haryana,Indian National Congress
138,Rohtak,Deepender Singh Hooda,Haryana,Indian National Congress
139,Bhiwani–Mahendragarh,DHARAMBIR SINGH,Haryana,Bharatiya Janata Party
140,Gurgaon,Rao Inderjit Singh,Haryana,Bharatiya Janata Party
141,Faridabad,KRISHAN PAL,Haryana,Bharatiya Janata Party
142,Mandi,KANGNA RANAUT,Himachal Pradesh,Bharatiya Janata Party
143,Kangra,DR RAJEEV BHARDWAJ,Himachal Pradesh,Bharatiya Janata Party
144,Hamirpur,ANURAG SINGH THAKUR,Himachal Pradesh,Bharatiya Janata Party
145,Shimla (SC),Suresh Kumar Kashyap,Himachal Pradesh,Bharatiya Janata Party
146,Baramulla,ABDUL RASHID SHEIKH,Jammu and Kashmir,Independent
147,Srinagar,Aga Syed Ruhullah Mehdi,Jammu and Kashmir,Jammu & Kashmir National Conference
148,Anantnag,MIAN ALTAF AHMAD,Jammu and Kashmir,Jammu & Kashmir National Conference
149,Udhampur,Jitendra Singh,Jammu and Kashmir,Bharatiya Janata Party
150,Jammu,JUGAL KISHORE,Jammu and Kashmir,Bharatiya Janata Party
151,Rajmahal (ST),VIJAY KUMAR HANSDAK,Jharkhand,Jharkhand Mukti Morcha
152,Dumka (ST),Nalin Soren,Jharkhand,Jharkhand Mukti Morcha
153,Godda,Nishikant Dubey,Jharkhand,Bharatiya Janata Party
154,Chatra,KALI CHARAN SINGH,Jharkhand,Bharatiya Janata Party
155,Kodarma,Annpurna Devi,Jharkhand,Bharatiya Janata Party
156,Giridih,Chandra Prakash Choudhary,Jharkhand,All Jharkhand Students Union
157,Dhanbad,Dulu Mahato,Jharkhand,Bharatiya Janata Party
158,Ranchi,Sanjay Seth,Jharkhand,Bharatiya Janata Party
159,Jamshedpur,Bidyut Baran Mahato,Jharkhand,Bharatiya Janata Party
160,Singhbhum (ST),Joba Majhi,Jharkhand,Jharkhand Mukti Morcha
161,Khunti (ST),Kali Charan Munda,Jharkhand,Indian National Congress
162,Lohardaga (ST),Sukhdeo Bhagat,Jharkhand,Indian National Congress
163,Palamau (SC),Vishnu Dayal Ram,Jharkhand,Bharatiya Janata Party
164,Hazaribagh,Manish Jaiswal,Jharkhand,Bharatiya Janata Party
165,Chikkodi,PRIYANKA SATISH JARKIHOLI,Karnataka,Indian National Congress
166,Belgaum,Jagadish Shettar,Karnataka,Bharatiya Janata Party
167,Bagalkot,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Karnataka,Bharatiya Janata Party
168,Bijapur (SC),Ramesh Jigajinagi,Karnataka,Bharatiya Janata Party
169,Gulbarga (SC),Radhakrishna,Karnataka,Indian National Congress
170,Raichur (ST),G. KUMAR NAIK.,Karnataka,Indian National Congress
171,Bidar,Sagar Eshwar Khandre,Karnataka,Indian National Congress
172,Koppal,K. Rajashekar Basavaraj Hitnal,Karnataka,Indian National Congress
173,Bellary (ST),E. Tukaram,Karnataka,Indian National Congress
174,Haveri,Basavaraj Bommai,Karnataka,Bharatiya Janata Party
175,Dharwad,Pralhad Joshi,Karnataka,Bharatiya Janata Party
176,Uttara Kannada,Vishweshwar Hegde Kageri,Karnataka,Bharatiya Janata Party
177,Davanagere,DR. PRABHA MALLIKARJUN,Karnataka,Indian National Congress
178,Shimoga,B.Y.RAGHAVENDRA,Karnataka,Bharatiya Janata Party
179,Udupi Chikmagalur,Kota Srinivas Poojary,Karnataka,Bharatiya Janata Party
180,Hassan,SHREYAS. M. PATEL,Karnataka,Indian National Congress
181,Dakshina Kannada,Captain Brijesh Chowta,Karnataka,Bharatiya Janata Party
182,Chitradurga (SC),GOVIND MAKTHAPPA KARJOL,Karnataka,Bharatiya Janata Party
183,Tumkur,V. Somanna,Karnataka,Bharatiya Janata Party
184,Mandya,H.D. KUMARASWAMY,Karnataka,Janata Dal (Secular)
185,Mysore,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Karnataka,Bharatiya Janata Party
186,Chamarajanagar (SC),Sunil Bose,Karnataka,Indian National Congress
187,Bangalore Rural,DR C N MANJUNATH,Karnataka,Bharatiya Janata Party
188,Bangalore North,Shobha Karandlaje,Karnataka,Bharatiya Janata Party
189,Bangalore Central,P C MOHAN,Karnataka,Bharatiya Janata Party
190,Bangalore South,Tejasvi Surya,Karnataka,Bharatiya Janata Party
191,Chikballapur,DR.K.SUDHAKAR,Karnataka,Bharatiya Janata Party
192,Kolar (SC),M. Mallesh Babu,Karnataka,Janata Dal (Secular)
193,Kasaragod,Rajmohan Unnithan,Kerala,Indian National Congress
194,Kannur,K. Sudhakaran,Kerala,Indian National Congress
195,Vatakara,Shafi Parambil,Kerala,Indian National Congress
196,Wayanad,RAHUL GANDHI,Kerala,Indian National Congress
197,Kozhikode,M. K. Raghavan,Kerala,Indian National Congress
198,Malappuram,E.T.  MOHAMMED BASHEER,Kerala,Indian National Congress
199,Ponnani,DR. M.P ABDUSSAMAD SAMADANI,Kerala,Indian National Congress
200,Palakkad,V K SREEKANDAN,Kerala,Indian National Congress
201,Alathur (SC),K.RADHAKRISHNAN,Kerala,Communist Party of India (Marxist)
